zwiazek,smiles_old,masa_molowa,liczba_pierscieni,srednia_liczba_N_w_pierscieniu,liczba_substratu_w_porze,energia Gibbsa,odleglosc_miedzy_najdalszymi_grupami,kondensacja,piroliza,temperatura,N_perc_triaz,wielkosc_pora teoretyczna,BET,objetosc,objetosc_mikroporow,pojemnosc_3_H2SO4_CV,pojemnosc_3_H2SO4_GCD,pojemnosc_3_NaOH_CV,pojemnosc_3_NaOH_GCD,,smiles
"2,3,5,6-tetrafluoroterepthalonitrile",FC1=C(F)C(C#N)=C(F)C(F)=C1C#N,200.1,1,2,6,-432,0.7,0,1,600,15.5,1.3,1435,0.49,0.23,,,,,,N#Cc4c(F)c(F)c(c3nc(c1c(F)c(F)c(C#N)c(F)c1F)nc(c2c(F)c(F)c(C#N)c(F)c2F)n3)c(F)c4F
"2,3,5,6-tetrafluoroterepthalonitrile",FC1=C(F)C(C#N)=C(F)C(F)=C1C#N,200.1,1,2,6,-432,0.7,0,1,700,12.1,1.3,1849,1,0.6,115,,,326,,N#Cc4c(F)c(F)c(c3nc(c1c(F)c(F)c(C#N)c(F)c1F)nc(c2c(F)c(F)c(C#N)c(F)c2F)n3)c(F)c4F
"2,3,5,6-tetrafluoroterepthalonitrile",FC1=C(F)C(C#N)=C(F)C(F)=C1C#N,200.1,1,2,6,-432,0.7,0,1,800,4.4,1.3,1122,1.12,0.38,,,,,,N#Cc4c(F)c(F)c(c3nc(c1c(F)c(F)c(C#N)c(F)c1F)nc(c2c(F)c(F)c(C#N)c(F)c2F)n3)c(F)c4F
"1,4-piperazinedicarboxaldehyde, melamine",NC1=NC(N=CN(CC2)CCN2C=O)=NC(N)=N1,250.3,2,8,6,,1.2,1,0,180,47.9,2.3,748,1.21,,,,,335,,O=CN1CCN(C=NC2=NC(/N=C/N3CCN(C=O)CC3)=NC(/N=C/N4CCN(CC4)C=O)=N2)CC1
"2,3,5,6-tetrafluoroterephtalonitrile",FC1=C(F)C(C#N)=C(F)C(F)=C1C#N,200.1,1,2,6,-432,0.7,0,1,400,19.9,1.3,1345,,,,379,,,,N#Cc4c(F)c(F)c(c3nc(c1c(F)c(F)c(C#N)c(F)c1F)nc(c2c(F)c(F)c(C#N)c(F)c2F)n3)c(F)c4F
tetracyanoquinodimethane,N#C/C(C#N)=C(C=C/1)/C=CC1=C(C#N)/C#N,204.2,1,4,6,745,0.9,0,1,800,8.13,0.9,3660,1.83,,,,,383,,N#CC(C#N)=c4ccc(=C(C#N)c3nc(C(C#N)=c1ccc(=C(C#N)C#N)cc1)nc(C(C#N)=c2ccc(=C(C#N)C#N)cc2)n3)cc4
"2,4,6-tris(4-aminophenyl)-1,3,5-triazine, dianhydrate TPI-P",NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=C4C=C(C(OC6=O)=O)C6=C5)=O)C=C3)=NC(C7=CC=C(N)C=C7)=N2,554.5,7,6,6,653,2.2,1,0,600,7.1,4.2,1651,0.77,0.6,,,,,,O=C1N(C(C2=C1C=C(C3=C2)C(OC3=O)=O)=O)C(C=C4)=CC=C4C5=NC(C6=CC=C(N(C(C7=C8C=C(C9=C7)C(OC9=O)=O)=O)C8=O)C=C6)=NC(C%10=CC=C(N(C(C%11=C%12C=C(C%13=C%11)C(OC%13=O)=O)=O)C%12=O)C=C%10)=N5
"2,4,6-tris(4-aminophenyl)-1,3,5-triazine, dianhydrate TPI-P",NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=C4C=C(C(OC6=O)=O)C6=C5)=O)C=C3)=NC(C7=CC=C(N)C=C7)=N2,554.5,7,6,6,653,2.2,1,0,700,6.3,4.2,1650,0.77,0.67,,423,,,,O=C1N(C(C2=C1C=C(C3=C2)C(OC3=O)=O)=O)C(C=C4)=CC=C4C5=NC(C6=CC=C(N(C(C7=C8C=C(C9=C7)C(OC9=O)=O)=O)C8=O)C=C6)=NC(C%10=CC=C(N(C(C%11=C%12C=C(C%13=C%11)C(OC%13=O)=O)=O)C%12=O)C=C%10)=N5
"2,4,6-tris(4-aminophenyl)-1,3,5-triazine, dianhydrate TPI-N",NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=CC=C6C7=C5C4=CC=C7C(OC6=O)=O)=O)C=C3)=NC(C8=CC=C(N)C=C8)=N2,604.6,8,6,6,783,2.2,1,0,600,11.4,4.2,1057,0.54,0.45,,,,,,O=C1N(C(C2=CC=C3C4=C2C1=CC=C4C(OC3=O)=O)=O)C(C=C5)=CC=C5C6=NC(C7=CC=C(N(C(C8=CC=C9C%10=C8C%11=CC=C%10C(OC9=O)=O)=O)C%11=O)C=C7)=NC(C%12=CC=C(N(C(C%13=CC=C%14C%15=C%13C%16=CC=C%15C(OC%14=O)=O)=O)C%16=O)C=C%12)=N6
"2,4,6-tris(4-aminophenyl)-1,3,5-triazine, dianhydrate TPI-N",NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=CC=C6C7=C5C4=CC=C7C(OC6=O)=O)=O)C=C3)=NC(C8=CC=C(N)C=C8)=N2,604.6,8,6,6,783,2.2,1,0,700,3,4.2,1237,0.65,0.46,,388,,,,O=C1N(C(C2=CC=C3C4=C2C1=CC=C4C(OC3=O)=O)=O)C(C=C5)=CC=C5C6=NC(C7=CC=C(N(C(C8=CC=C9C%10=C8C%11=CC=C%10C(OC9=O)=O)=O)C%11=O)C=C7)=NC(C%12=CC=C(N(C(C%13=CC=C%14C%15=C%13C%16=CC=C%15C(OC%14=O)=O)=O)C%16=O)C=C%12)=N6
